K, F1Score
250, 0.03584229390681004
251, 0.03571428571428571
252, 0.03558718861209964
253, 0.03546099290780142
254, 0.0353356890459364
255, 0.035211267605633804
256, 0.03508771929824561
257, 0.03496503496503497
258, 0.03484320557491289
259, 0.034722222222222224
260, 0.034602076124567484
261, 0.034482758620689655
262, 0.03436426116838488
263, 0.03424657534246575
264, 0.034129692832764506
265, 0.03401360544217687
266, 0.03389830508474576
267, 0.033783783783783786
268, 0.03367003367003366
269, 0.03355704697986577
270, 0.033444816053511704
271, 0.03333333333333333
272, 0.03322259136212625
273, 0.033112582781456956
274, 0.033003300330033
275, 0.03289473684210526
276, 0.03278688524590164
277, 0.032679738562091505
278, 0.03257328990228013
279, 0.032467532467532464
280, 0.03236245954692557
281, 0.03225806451612903
282, 0.03215434083601287
283, 0.03205128205128205
284, 0.031948881789137386
285, 0.03184713375796178
286, 0.03174603174603175
287, 0.03164556962025316
288, 0.03154574132492114
289, 0.03144654088050315
290, 0.03134796238244514
291, 0.03125000000000001
292, 0.031152647975077878
293, 0.031055900621118016
294, 0.030959752321981428
295, 0.0308641975308642
296, 0.03076923076923077
297, 0.03067484662576687
298, 0.03058103975535168
299, 0.03048780487804878
300, 0.0303951367781155
301, 0.030303030303030307
302, 0.03021148036253777
303, 0.03012048192771084
304, 0.03003003003003003
305, 0.02994011976047905
306, 0.02985074626865672
307, 0.029761904761904764
308, 0.029673590504451033
309, 0.029585798816568046
310, 0.029498525073746316
311, 0.02941176470588235
312, 0.029325513196480937
313, 0.029239766081871343
314, 0.02915451895043732
315, 0.029069767441860465
316, 0.028985507246376812
317, 0.028901734104046242
318, 0.028818443804034585
319, 0.028735632183908046
320, 0.02865329512893983
321, 0.02857142857142857
322, 0.02849002849002849
323, 0.028409090909090908
324, 0.028328611898016994
325, 0.02824858757062147
326, 0.028169014084507043
327, 0.028089887640449437
328, 0.028011204481792715
329, 0.02793296089385475
330, 0.027855153203342618
331, 0.027777777777777776
332, 0.027700831024930747
333, 0.027624309392265196
334, 0.027548209366391185
335, 0.027472527472527472
